Municipality,percent,salary,average_cost,Top_10_supervisor_cost
Capistrano,0.80,4575,4260,Yes
Graca,0.80,3900,3720,Yes
Quiterianopolis,1.00,2960,3560,Yes
Itarema,0.90,3200,3480,Yes
Santana do Acarau,1.00,2800,3400,Yes
Uruoca ,1.00,2600,3200,Yes
Granja ,0.80,2900,2920,Yes
Vicosa do Ceara,0.60,3800,2880,Yes
Santana do Cariri ,1.00,2200,2800,Yes
Moraujo,1.00,2100,2700,Yes
Iraucuba,0.50,3600,2400,No
Miraima,1.00,1651,2251,No
Novo Oriente ,0.50,3119,2159.5,No
Trairi,0.50,3108,2154,No
Choro ,1.00,1400,2000,No
Barroquinha,1.00,1300,1900,No
Ararenda,0.40,3200,1880,No
Tamboril,0.70,1800,1860,No
Mucambo,0.50,2500,1850,No
Martinopole,0.50,2100,1650,No
Boa Viagem ,0.30,3400,1620,No
Pereiro ,0.50,2000,1600,No
Morrinhos,0.40,2436,1574.4,No
Amontada,0.25,3500,1475,No
Tururu,0.35,2300,1405,No
Reriutaba ,1.00,800,1400,No
Croata,0.50,1500,1350,No
Ipueiras,0.60,998,1198.8,No
Itatira,0.80,700,1160,No
Salitre,0.50,954,1077,No
Itapiuna ,0.28,1228,943.84,No
Tarrafas,1.00,200,800,No
