Municipality,cost,type
Amontada,0,Own vehicle without cost aid
Ararenda,400,Own vehicle with cost aid
Barroquinha,0,Own vehicle without cost aid
Boa Viagem ,0,Own vehicle without cost aid
Capistrano,1014.216667,Own vehicle with cost aid or in municipality vehicle
Choro ,0,Own vehicle without cost aid
Croata,0,Own vehicle without cost aid
Graca,1242.5,Own vehicle with cost aid or in municipality vehicle
Granja ,0,Own vehicle without cost aid
Ipueiras,0,Own vehicle without cost aid
Iraucuba,0,Own vehicle without cost aid
Itapiuna ,0,Own vehicle without cost aid
Itarema,0,Own vehicle without cost aid
Itatira,800,Own vehicle with cost aid
Martinopole,4136,Own vehicle with cost aid
Miraima,0,Own vehicle without cost aid
Moraujo,1200,Own vehicle with cost aid or in municipality vehicle
Morrinhos,0,Own vehicle without cost aid
Mucambo,2400,Municipality vehicle
Novo Oriente ,1564,Own vehicle with cost aid
Pereiro ,560,Own vehicle with cost aid
Quiterianopolis,0,Own vehicle without cost aid
Reriutaba ,0,Own vehicle without cost aid
Salitre,0,Own vehicle without cost aid
Santana do Acarau,492,Own vehicle with cost aid
Santana do Cariri ,606.2166667,Municipality vehicle
Tamboril,606.2166667,Municipality vehicle
Tarrafas,270,Own vehicle with cost aid
Trairi,634,Own vehicle with cost aid
Tururu,0,Own vehicle without cost aid
Uruoca ,0,Own vehicle without cost aid
Vicosa do Ceara,0,Own vehicle without cost aid
